time/fps,time/iterations,time/time_elapsed,time/total_timesteps,train/loss,train/clip_range,train/learning_rate,train/std,train/entropy_loss,train/n_updates,train/approx_kl,train/clip_fraction,train/value_loss,train/explained_variance,train/policy_gradient_loss,rollout/ep_rew_mean,rollout/ep_len_mean
565,82,297,167936,-0.023269876837730408,0.3,0.0003,1.8365981578826904,-4.023660446703434,810,0.020655636,0.079443359375,0.6976905859075486,-0.2709691524505615,-0.004417733367881737,-6936.622535629629,5773.037037037037
564,83,301,169984,0.12657120823860168,0.3,0.0003,1.8480160236358643,-4.040354588627816,820,0.020129636,0.08857421875,7.581801940314472,-0.31337499618530273,-0.006123810302233324,-7148.546846357142,6033.178571428572
565,84,304,172032,32.625335693359375,0.3,0.0003,1.8604135513305664,-4.0530774489045145,830,0.016009416,0.055908203125,61.382339018955825,0.9724496603012085,-0.0017766236342140473,-7148.546846357142,6033.178571428572
566,85,307,174080,0.9056811332702637,0.3,0.0003,1.893825888633728,-4.078061383962631,840,0.02399303,0.13212890625,10.177089905925095,0.9921659827232361,-0.013933344214456156,-7148.546846357142,6033.178571428572
566,86,311,176128,0.4645001292228699,0.3,0.0003,1.9106882810592651,-4.104611602425575,850,0.018129136,0.09150390625,1.4936267897486686,0.5234098434448242,-0.01477824883913854,-7095.81425275862,6062.9655172413795
567,87,314,178176,24.440296173095703,0.3,0.0003,1.910085678100586,-4.113638886809349,860,0.019123174,0.064892578125,30.49257349744439,0.9700047969818115,-0.008860556073705084,-7095.81425275862,6062.9655172413795
568,88,317,180224,0.20946650207042694,0.3,0.0003,1.9307256937026978,-4.123705537617207,870,0.0071078567,0.019677734375,10.329654131736607,0.9892955422401428,-0.0017471433035098015,-7095.81425275862,6062.9655172413795
567,89,321,182272,0.25949475169181824,0.3,0.0003,1.9355227947235107,-4.137845329940319,880,0.022886645,0.12138671875,1.3866301266476513,0.8050854206085205,-0.01882696591928834,-7003.429954999999,6046.733333333334
568,90,323,184320,34.09663772583008,0.3,0.0003,1.9418946504592896,-4.146421432495117,890,0.016414735,0.075341796875,46.92984955236316,0.9828142523765564,-0.008162034295673947,-7003.429954999999,6046.733333333334
568,91,327,186368,0.7927714586257935,0.3,0.0003,1.9479379653930664,-4.151817139983177,900,0.008146561,0.01943359375,12.403199239820243,0.9863830804824829,-0.005348561589926248,-6865.289767935483,5983.451612903225
569,92,330,188416,2.881762981414795,0.3,0.0003,1.9496228694915771,-4.1555048927664755,910,0.011957916,0.043017578125,36.76107327900827,0.9813913106918335,-0.003036700753000332,-6865.289767935483,5983.451612903225
568,93,334,190464,1.8047969341278076,0.3,0.0003,1.9694255590438843,-4.164952832460403,920,0.009687403,0.024951171875,12.019153643026948,0.9902260899543762,-0.003790388541528955,-6722.2468808124995,5917.9375
567,94,338,192512,8.08561897277832,0.3,0.0003,1.9864447116851807,-4.179388768970966,930,0.006413835,0.0126953125,111.21847093552351,0.868984580039978,-0.0007636755181010813,-6582.320843424242,5810.212121212121
569,95,341,194560,4.087584972381592,0.3,0.0003,1.9947435855865479,-4.19469299018383,940,0.00526632,0.00595703125,71.57303310632706,0.7893378734588623,-0.0027690466464264317,-6582.320843424242,5810.212121212121
568,96,345,196608,22.327531814575195,0.3,0.0003,2.012521266937256,-4.206700238585472,950,0.0059758173,0.00703125,93.20250749588013,0.9273988604545593,-0.0022154396036057735,-6454.198956911765,5723.64705882353
567,97,349,198656,23.89249610900879,0.3,0.0003,2.019791603088379,-4.22205815166235,960,0.010437602,0.0265625,44.28443239051849,0.9342713952064514,-0.009470603246882092,-6340.827991457143,5643.742857142857
567,98,353,200704,45.90470504760742,0.3,0.0003,2.036783456802368,-4.230311773717403,970,0.00638801,0.005859375,170.56178914904595,0.9194970726966858,-0.003326855552586494,-6248.497184194445,5564.194444444444
566,99,357,202752,165.9442901611328,0.3,0.0003,2.0626063346862793,-4.252911479771138,980,0.008736929,0.01708984375,257.5163281559944,0.9436888694763184,-0.004186955300974659,-6156.955742648649,5473.756756756757
567,100,360,204800,114.81366729736328,0.3,0.0003,2.0880160331726074,-4.277093452215195,990,0.00794919,0.012451171875,256.2247721672058,0.9563813209533691,-0.0029848886537365616,-6156.955742648649,5473.756756756757
568,101,363,206848,19.341184616088867,0.3,0.0003,2.1079916954040527,-4.299800179898739,1000,0.015979491,0.0486328125,47.52213588356972,0.9777927398681641,-0.00874294983150321,-6156.955742648649,5473.756756756757
569,102,366,208896,1.8728200197219849,0.3,0.0003,2.1609885692596436,-4.324122117459774,1010,0.025876895,0.093798828125,79.36633438318968,-2.873812198638916,-0.012750080852129031,-6156.955742648649,5473.756756756757
568,103,370,210944,31.04766273498535,0.3,0.0003,2.164492130279541,-4.361074523627758,1020,0.0068764836,0.010400390625,165.33186519145966,0.11409968137741089,-0.002863756635633763,-6482.18965563158,5528.578947368421
569,104,373,212992,394.57452392578125,0.3,0.0003,2.1753408908843994,-4.366167102754116,1030,0.008143691,0.0154296875,334.4112066984177,0.9735139608383179,-0.0028423754934919997,-6482.18965563158,5528.578947368421
